"nome","id","cidade","url","av","ap","pa","es","lat","long","nomeAux","endereco","localidade","cp","email","time","fone","recolhas"
"Intermarché Super Beja","7650","Beja","https://www.intermarche.pt/lojas/beja/03265-beja/","True","False","True","False","38.004784","-7.866695","Intermarché Beja","Av. Fialho de Almeida nº78","Beja","7800-395 Beja","superbeja@gmail.com","Segunda a domingo: 9h00 às 21h00 - ","284312150",FALSE
"Intermarché Contact Castro Verde - Estrada Serrana","7653","Castro Verde - Estrada Serrana","https://www.intermarche.pt/lojas/beja/08046-castro-verde-estrada-serrana/","True","False","True","False","37.706617","-8.084919","Intermarché Castro Verde - Estrada Serrana","Estrada Serrana","Castro Verde","7780-000 Castro Verde","pdv08046@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","286327215",FALSE
"Intermarché Super Castro Verde - Farjais de Castro","7652","Castro Verde - Farjais de Castro","https://www.intermarche.pt/lojas/beja/08047-castro-verde-rua-nova-da-feira/","False","True","False","False","37.694528","-8.089231","Intermarché Castro Verde - Farjais de Castro","Rua Nova da Feira - Farjais de Castro","Castro Verde","7780-201 Castro Verde","pdv08047@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","286320030",FALSE
"Intermarché Contact Cuba","68058","Cuba","https://www.intermarche.pt/lojas/beja/09788-cuba/","False","False","True","False","38.171108","-7.894547","Intermarché Cuba","Estrada Nacional 258-1 Edifício Intermarché",NA,"7940-148 Cuba","pdv09788@mousquetaires.com","Segunda a Domingo: 8h00 às 21h00 - ",NA,FALSE
"Intermarché Contact Ferreira do Alentejo","7654","Ferreira do Alentejo","https://www.intermarche.pt/lojas/beja/06594-ferreira-do-alentejo/","False","False","False","False","38.062061","-8.1187","Intermarché Ferreira do Alentejo","Rua 1º de Maio","Ferreira do Alentejo","7900-573 Ferreira do Alentejo","sodialentejo@sapo.pt","Todos os dias: 9h00 às 20h00 - ","284739842",FALSE
"Intermarché Super Moura","7655","Moura","https://www.intermarche.pt/lojas/beja/08202-moura/","True","True","True","False","38.139815","-7.459795","Intermarché Moura","Avenida dos Bombeiros Voluntários","Moura","7860-107 Moura","pdv08202@mousquetaires.com","Todos os dias: 9h00 às 20h00 - ","285251147",FALSE
"Intermarché Contact Odemira","7656","Odemira","https://www.intermarche.pt/lojas/beja/07486-odemira/","True","True","True","False","37.59969","-8.631089","Intermarché Odemira","Vale Passos","Odemira","7630-112 Odemira","intermarcheodemira@hotmail.com","Segunda a Domingo: 9h00 às 20h00 - ","283320180",FALSE
"Intermarché Super S. Teotónio","7657","S. Teotónio","https://www.intermarche.pt/lojas/beja/05934-s-teotonio/","False","False","False","False","37.509815","-8.715071","Intermarché S. Teotónio","Loteamento da Bemposta lote 6","S. Teotónio","7630-614 Odemira","intermarche.saoteotonio@hotmail.com","Inverno: 9h00 às 20h00 - Verão: 9h00 às 20h30 - ","283958103",FALSE
"Intermarché Super Serpa","7658","Serpa","https://www.intermarche.pt/lojas/beja/07366-serpa/","True","False","True","False","37.938951","-7.604335","Intermarché Serpa","Hortinha","Serpa","7830-389 Serpa","geralinterserpa@gmail.com","Segunda a Domingo: 9h00 às 20h00 - ","284540520",FALSE
"Intermarché Super Amares","7659","Amares","https://www.intermarche.pt/lojas/braga/04599-amares/","True","False","True","False","41.625975","-8.360204","Intermarché Amares","Quinta do paço - Bornaria","Amares","4720-333 Amares","pdv04599@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","253909090",FALSE
"Intermarché Super Barcelos","50053","Barcelos","https://www.intermarche.pt/lojas/braga/09472-barcelos/","True","True","True","True","41.547126","-8.621891","Intermarché Barcelos","Rua do Faial 792, Vila Boa","Barcelos","4750-783 Barcelos","pdv09472@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","253144810",FALSE
"Intermarché Super Braga","7660","Braga","https://www.intermarche.pt/lojas/braga/04634-braga/","True","False","True","False","41.535917","-8.430167","Intermarché Braga","Rua da Mouta - Lomar","Braga","4705-180 Braga","pdv04634@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","253617663",FALSE
"Intermarché Super Caldas Taipas","7661","Caldas Taipas","https://www.intermarche.pt/lojas/braga/01540-caldas-taipas/","True","True","True","True","41.4868","-8.3509","Intermarché Caldas Taipas","Rua da Banda da música - apartado 4108","Caldas Taipas","4800-091 Guimarães","soditaipas@gmail.com","Todos os dias: 9h00 às 21h00 - ","253479470",FALSE
"Intermarché Super Fafe","7662","Fafe","https://www.intermarche.pt/lojas/braga/76126-fafe/","True","False","True","True","41.445028","-8.167889","Intermarché Fafe","Bouça de Cavadas","Fafe","4820-099 Fafe","intermarche@intermarchedefafe.com","Segunda a Domingo: 8h30 às 21h00 - ","253590808",FALSE
"Intermarché Super Guimarães - Rua da Eira","7664","Guimarães - Rua da Eira","https://www.intermarche.pt/lojas/braga/02600-guimaraes-rua-da-eira/","True","False","True","False","41.455159","-8.275779","Intermarché Guimarães - Rua da Eira","Rua da Eira nº85","Guimarães","4810-007 Guimarães","intermarcheguimaraes@gmail.com","Segunda a domingo: 8h30 às 21h00 - ","253439030",FALSE
"Intermarché Super Guimarães - Rua Pinheiro Manso","7663","Guimarães - Rua Pinheiro Manso","https://www.intermarche.pt/lojas/braga/06427-guimaraes-rua-pinheiro-manso/","False","False","True","True","41.424914","-8.299929","Intermarché Guimarães - Rua Pinheiro Manso","Rua Pinheiro Manso nº 443","Guimarães","4810-107 Guimarães","pdv06427@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","253520010",FALSE
"Intermarché Super Póvoa De Lanhoso","7665","Póvoa De Lanhoso","https://www.intermarche.pt/lojas/braga/01543-povoa-de-lanhoso/","True","False","True","True","41.573119","-8.262733","Intermarché Póvoa De Lanhoso","Lugar Ponte dos Pereiros","Póvoa De Lanhoso","4830-508 Póvoa De Lanhoso","pdv01543@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","253634664",FALSE
"Intermarché Contact Terras de Bouro","7669","Terras de Bouro","https://www.intermarche.pt/lojas/braga/06754-terras-de-bouro/","False","False","False","True","41.717467","-8.305701","Intermarché Terras de Bouro","Rua Dr.Francisco Xavier Araújo Nº 136","Terras de Bouro","4840-100 Terras de Bouro","pdv06754@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","253359000",TRUE
"Intermarché Contact Vila de Prado","14009","Vila de Prado","https://www.intermarche.pt/lojas/braga/08048-vila-de-prado/","True","True","True","True","41.604788","-8.467077","Intermarché Vila de Prado","Quinta dos Loureiros - Lugar do Outeiro","Vila de Prado - Vila Verde","4730-548 Vila de Prado - Vila Verde","pdv08048@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","253929080",FALSE
"Intermarché Super Vila Nova de Famalicão","7666","Vila Nova de Famalicão","https://www.intermarche.pt/lojas/braga/07290-vila-nova-de-famalicao/","True","False","True","True","41.398475","-8.534328","Intermarché Vila Nova de Famalicão","Rua de S. Julião nº831","Calendário","4760-384 Vila Nova de Famalicão","pdv07290@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","252312660",FALSE
"Intermarché Super Vila Verde","7667","Vila Verde","https://www.intermarche.pt/lojas/braga/02591-vila-verde/","True","False","True","False","41.657956","-8.430766","Intermarché Vila Verde","Estrada Nacional nº101- Lugar de Souto - Gême","Vila Verde","4730-180 Vila Verde","itmvilaverde@distriverde.pt","Segunda a Sexta: 8h30 às 20h30 - Sábado e Domingo: 8h00 às 20h30 - ","253310280",FALSE
"Intermarché Super Vizela","7668","Vizela","https://www.intermarche.pt/lojas/braga/09062-vizela/","True","False","True","True","41.36423","-8.30311","Intermarché Vizela","Rua Soutos dos Milagres","Santa Eulália de Vizela","4620-574 Vizela","pdv09062@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","253584234",TRUE
"Intermarché Super Bragança","8082","Bragança","https://www.intermarche.pt/lojas/braganca/10005-braganca/","False","False","False","False","41.810584","-6.761956","Intermarché Bragança","Lugar de Vale de Álvaro","Bragança","5300-274 Bragança","pdv10005@mousquetaires.com","Segunda a Domingo: 8h00 às 20h00 - ","273332147",FALSE
"Intermarché Contact Macedo de Cavaleiros -  Ilha do Sal","8086","Macedo de Cavaleiros -  Ilha do Sal","https://www.intermarche.pt/lojas/braganca/08419-macedo-de-cavaleiros-ilha-do-sal/","False","False","False","False","41.54218","-6.962513","Intermarché Macedo de Cavaleiros -  Ilha do Sal","Avenida Ilha do Sal Nº 14 A","Macedo de Cavaleiros","5340-194 Macedo de Cavaleiros","pdv08419@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 - ","278 420 070",FALSE
"Intermarché Super Macedo de Cavaleiros - Lugar do Prado","8081","Macedo de Cavaleiros - Lugar do Prado","https://www.intermarche.pt/lojas/braganca/08418-macedo-de-cavaleiros-lugar-do-prado/","True","False","True","False","41.532283","-6.95159","Intermarché Macedo de Cavaleiros - Lugar do Prado","Lugar do Prado","Macedo de Cavaleiros","5340-211 Macedo de Cavaleiros","pdv08418@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","278 425 223",FALSE
"Intermarché Contact Miranda do Douro","69411","Miranda do Douro","https://www.intermarche.pt/lojas/braganca/09821-miranda-do-douro/","False","False","True","True","41.5049821","-6.2854389","Intermarché Miranda do Douro","Estrada Nacional 218","Lugar do Choupo","5210-206 Miranda do Douro","pdv09821@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 - ",NA,FALSE
"Intermarché Super Mirandela","8083","Mirandela","https://www.intermarche.pt/lojas/braganca/06196-mirandela/","True","False","True","True","41.483155","-7.195104","Intermarché Mirandela","Lugar Vale de Cerdeira","Mirandela","5370-562 Mirandela","pdv06196@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","278260030",TRUE
"Intermarché Super Mogadouro","8084","Mogadouro","https://www.intermarche.pt/lojas/braganca/07541-mogadouro/","False","False","False","False","41.337913","-6.710694","Intermarché Mogadouro","Av. Calouste Gulbenkian","Mogadouro","5200-202 Mogadouro","pdv07541@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 (verão) - Segunda a domingo: 9h00 às 13h00 e das 14h30 às 20h00 (verão) - ","279340400",FALSE
"Intermarché Contact Vila Flor","8085","Vila Flor","https://www.intermarche.pt/lojas/braganca/05285-vila-flor/","True","False","True","False","41.309881","-7.162241","Intermarché Vila Flor","Lugar dos Caseirões","Vila Flor","5360-305 Vila Flor","pdv05285@mousquetaires.com","Inverno: 9h00 às 19h30 - Verão: 9h00 às 20h00 - ","278510030",FALSE
"Intermarché Contact Alcains","8087","Alcains","https://www.intermarche.pt/lojas/castelo-branco/08342-alcains/","True","False","True","False","39.91554","-7.465176","Intermarché Alcains","Estrada de S. Domingos","Alcains","6005-010 Castelo Branco","pdv08342@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","272906695",FALSE
"Intermarché Contact Belmonte","8088","Belmonte","https://www.intermarche.pt/lojas/castelo-branco/01745-belmonte/","True","False","True","False","40.361993","-7.342983","Intermarché Belmonte","Varanda de Pilatos","Belmonte","6520-020 Belmonte","interbelmonte@sapo.pt","Segunda a domingo: 9h00 às 20h30 (setembro a junho) - Segunda a domingo: 9h00 às 21h00 (julho e agosto) - ","275910150",FALSE
"Intermarché Super Castelo Branco","8092","Castelo Branco","https://www.intermarche.pt/lojas/castelo-branco/08225-castelo-branco/","True","False","True","False","39.808893","-7.52436","Intermarché Castelo Branco","Zona Industrial de Castelo Branco, Lote P6C","Castelo Branco","6000-997 Castelo Branco","pdv08225@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","272340760",FALSE
"Intermarché Super Covilhã","8093","Covilhã","https://www.intermarche.pt/lojas/castelo-branco/04056-covilha/","True","False","True","False","40.270309","-7.493759","Intermarché Covilhã","Av. Infante D. Henrique Edificio Intermarché","Covilhã","6200-506 Covilhã","pdv04056@mousquetaires.com","Segunda a Sábado: 8h30 às 20h30 - Domingo: 9h00 às 20h30 - ","275329220",FALSE
"Intermarché Super Fundão","8094","Fundão","https://www.intermarche.pt/lojas/castelo-branco/09053-fundao/","True","False","True","False","40.152237","-7.497673","Intermarché Fundão","Rua da Cidade da Covilhã - Vale de Canas, São Marcos",NA,"6230-481 Fundão","pdv09053@mousquetaires.com","Segunda a Domingo: 8h30 às 20h30 - ","275 247 014",FALSE
"Intermarché Contact Idanha a Nova","8089","Idanha a Nova","https://www.intermarche.pt/lojas/castelo-branco/04280-idanha-a-nova/","True","True","True","False","39.930562","-7.240746","Intermarché Idanha a Nova","Zona Nova de Expansão","Idanha a Nova","6060-101 Idanha a Nova","pdv04280@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","277202590",FALSE
"Intermarché Contact Proença a Nova","8090","Proença a Nova","https://www.intermarche.pt/lojas/castelo-branco/05440-proenca-a-nova/","True","False","True","True","39.751143","-7.917601","Intermarché Proença a Nova","Lugar de São Bartolomeu","Proença a Nova","6150-503 Proença a Nova","ecoproenca@sapo.pt","Segunda a Domingo: 9h00 às 20h00 - ","274670070",TRUE
"Intermarché Super Sertã","8095","Sertã","https://www.intermarche.pt/lojas/castelo-branco/03034-serta/","True","False","True","False","39.812193","-8.107802","Intermarché Sertã","São João de Couto","Sertã","6100 Sertã","pdv03034@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","274604021",FALSE
"Intermarché Super Arganil","8098","Arganil","https://www.intermarche.pt/lojas/coimbra/08594-arganil/","True","True","True","False","40.218748","-8.056671","Intermarché Arganil","Bairro do Prazo, Apartado 81","Arganil","3300-017 Arganil","pdv08594@mousquetaires.com","Inverno: 9h00 às 20h00 - Verão: 9h00 às 20h30 - ","235205262",FALSE
"Intermarché Super Cantanhede","8099","Cantanhede","https://www.intermarche.pt/lojas/coimbra/76102-cantanhede/","True","False","True","True","40.35058","-8.587221","Intermarché Cantanhede","Lugar do Freixial","Cantanhede","3060-228 Cantanhede","pdv76102@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","231410740",FALSE
"Intermarché Super Condeixa-a-Nova","8100","Condeixa-a-Nova","https://www.intermarche.pt/lojas/coimbra/07082-condeixa-a-nova/","True","False","True","True","40.122825","-8.502475","Intermarché Condeixa-a-Nova","Lugar da Barreira","Condeixa-a-Nova","3150-110 Condeixa-a-Nova","intercondeixa@gmail.com","Segunda a Domingo: 9h00 às 21h00 - ","239940010",FALSE
"Intermarché Super Figueira Da Foz","8101","Figueira Da Foz","https://www.intermarche.pt/lojas/coimbra/02029-figueira-da-foz/","True","False","True","False","40.166953","-8.836309","Intermarché Figueira Da Foz","Estrada nacional 109 Chã - Tavarede","Figueira Da Foz","3080-847 Figueira Da Foz","pdv02029@mousquetaires.com","Segunda a domingo: 9h30 às 20h30 - ","233424013",FALSE
"Intermarché Contact Lavos","8122","Lavos","https://www.intermarche.pt/lojas/coimbra/06943-lavos/","True","False","True","False","40.084828","-8.824868","Intermarché Lavos","Rua das Flopres Bairro Alto - Santa Luzia","Lavos","3090-452 Figueira da Foz","interlavos@sapo.pt","Segunda a domingo: 9h30 às 20h00 - ","233900570",FALSE
"Intermarché Super Lousã","8102","Lousã","https://www.intermarche.pt/lojas/coimbra/76123-lousa/","True","False","True","False","40.115111","-8.245061","Intermarché Lousã","Av. Dr José Cardoso - Quinta de S.Pedro","Lousã","3200-002 Lousã","pdv76123@mousquetaires.com","8h30 às 20h30 (inverno) - 8h30 às 21h00 (verão) - ","969 289 886",FALSE
"Intermarché Super Mira","8103","Mira","https://www.intermarche.pt/lojas/coimbra/03024-mira/","True","True","True","False","40.426487","-8.730882","Intermarché Mira","Rua Fernandes Costa","Mira","3070-323 Mira","distriproenca@sapo.pt","Segunda a domingo: 8h30 às 20h30 - ","231489020",FALSE
"Intermarché Super Miranda do Corvo","8104","Miranda do Corvo","https://www.intermarche.pt/lojas/coimbra/05991-miranda-do-corvo/","True","False","True","False","40.086227","-8.322522","Intermarché Miranda do Corvo","Quinta de São Pedro - Meãs","Miranda do Corvo","3220-265 Miranda do Corvo","pdv05991@mousquetaires.com","8h30 às 21h00 - ","969289887",FALSE
"Intermarché Super Montemor O Velho","8105","Montemor O Velho","https://www.intermarche.pt/lojas/coimbra/76120-montemor-o-velho/","True","False","True","True","40.184283","-8.671881","Intermarché Montemor O Velho","Vinha da Parreira lote 3","Montemor O Velho","3140-249 Montemor O Velho","montesodi.m.o.v@sapo.pt","Todos os dias: 8h30 às 20h30 - ","239680390",FALSE
"Intermarché Super Oliveira do Hospital","8106","Oliveira do Hospital","https://www.intermarche.pt/lojas/coimbra/07903-oliveira-do-hospital/","True","True","True","True","40.355133","-7.851896","Intermarché Oliveira do Hospital","Rua Comendador Manuel Rodrigues Lagos","Oliveira do Hospital","3400-093 Oliveira do Hospital","pdv07903@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","238609735",TRUE
"Intermarché Super Santa Clara","8109","Santa Clara","https://www.intermarche.pt/lojas/coimbra/07916-santa-clara/","True","False","True","False","40.197018","-8.444878","Intermarché Santa Clara","Rua Central de Mesura Nº 35","Santa Clara","3040-197 Coimbra","pdv07916@mousquetaires.com","Segunda a Sábado: 9h00 às 21h00 - Domingo: 9h00 às 20h00 - ","239448180",FALSE
"Intermarché Super Soure","8107","Soure","https://www.intermarche.pt/lojas/coimbra/06301-soure/","True","True","True","False","40.063383","-8.618812","Intermarché Soure","Lugar de Olivais de Santo António","Soure","3130-200 Soure","pdv06301@mousquetaires.com","Segunda a Domingo: 9h00 às 20h00 - ","239501810",FALSE
"Intermarché Super Tábua","8108","Tábua","https://www.intermarche.pt/lojas/coimbra/01314-tabua/","True","True","True","False","40.363691","-8.024631","Intermarché Tábua","Cova do Barro","Tábua","3420-427 Tábua","pdv01314@mousquetaires.com","9h00 - 20h30 (inverno) - julho e agosto 9h00 às 21h00 - ","235413084",FALSE
"Intermarché Super Taveiro","56394","Taveiro","https://www.intermarche.pt/lojas/coimbra/09612-taveiro/","False","False","False","True","40.1921568","-8.5094852","Intermarché Taveiro","Mondego Retail Park, Rua da Ribeira das Eiras","Taveiro","3045-504 Taveiro","pdv09612@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","239246450",FALSE
"Intermarché Contact Vila Nova de Poiares","8097","Vila Nova de Poiares","https://www.intermarche.pt/lojas/coimbra/01266-vila-nova-de-poiares/","False","False","False","False","40.210801","-8.260081","Intermarché Vila Nova de Poiares","Av. General Humberto Delgado - Quintais da Vila","Vila Nova de Poiares","3350-160 Vila Nova de Poiares","pdv01266@mousquetaires.com","Todos os dias: 9h00 às 20h00 - ","239422930",FALSE
"Intermarché Contact Arraiolos","8125","Arraiolos","https://www.intermarche.pt/lojas/evora/09958-arraiolos/","True","False","True","False","38.724459","-7.990421","Intermarché Arraiolos","Rua dos Almocreves 2","Arraiolos","7040-909 Arraiolos","pdv09958@mousquetaires.com","Segunda a Domingo: 9h00 às 13h00 e das 15h00 às 20h00 - Sábado: 9h00 às 20h00 - ","266490060",FALSE
"Intermarché Super Estremoz","8110","Estremoz","https://www.intermarche.pt/lojas/evora/04482-estremoz/","True","True","True","True","38.846791","-7.581723","Intermarché Estremoz","Zona Industrial - Apartado 10 - Santa Maria","Estremoz","7100-147 Estremoz","pdv04482@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 - ","268337380",FALSE
"Intermarché Super Évora - Frei Aleixo","8111","Évora - Frei Aleixo","https://www.intermarche.pt/lojas/evora/06224-evora-frei-aleixo/","True","True","True","False","38.583859","-7.898965","Intermarché Évora - Frei Aleixo","Bairro do Frei Aleixo - EN 18","Évora","7005-863 Évora","pdv06224@mousquetaires.com","Segunda a domingo: 9h00 às 21h00 - ","266743900",FALSE
"Intermarché Super Évora - Quinta do Alcântara","8112","Évora - Quinta do Alcântara","https://www.intermarche.pt/lojas/evora/09697-evora-quinta-do-alcantara/","True","True","True","True","38.552583","-7.912781","Intermarché Évora - Quinta do Alcântara","Quinta do Alcântara lote1","Évora","7005-345 Évora","pdv09697@mousquetaires.com","Segunda a domingo: 8h30 às 21h00 - ","266739220",FALSE
"Intermarché Super Montemor-o-Novo","8113","Montemor-o-Novo","https://www.intermarche.pt/lojas/evora/04875-montemor-o-novo/","True","False","True","False","38.646399","-8.205922","Intermarché Montemor-o-Novo","Avenida Gago Coutinho","Montemor-o-Novo","7050-101 Montemor-o-Novo","pdv04875@mousquetaires.com","Segunda a Domingo: 9h00 às 20h30 - ","266899200",FALSE
"Intermarché Contact Portel","8126","Portel","https://www.intermarche.pt/lojas/evora/02778-portel/","True","False","True","False","38.30486","-7.706111","Intermarché Portel","Tapada dos Arcos","Portel","7220-413 Portel","pdv02778@mousquetaires.com","Segunda a Domingo: 9h00 às 13h00 e das 15h00 às 20h00 - ","266611509",FALSE
"Intermarché Contact Redondo","8127","Redondo","https://www.intermarche.pt/lojas/evora/07006-redondo/","True","False","True","True","38.653558","-7.54822","Intermarché Redondo","Rua do Almagre","Redondo","7170-072 Redondo","pdv07006@mousquetaires.com","Todos os dias: 9h00 às 20h30 - ","266999935",FALSE
"Intermarché Super Reguengos de Monsaraz","8114","Reguengos de Monsaraz","https://www.intermarche.pt/lojas/evora/05940-reguengos-de-monsaraz/","True","True","True","False","38.424725","-7.54492","Intermarché Reguengos de Monsaraz","Lugar da Cegonheira - Semi Circular Sul","Reguengos de Monsaraz","7200-999 Reguengos de Monsaraz","pdv05940@mousquetaires.com","Todos os dias: 9h00 às 21h00 - ","266508190",FALSE
"Intermarché Contact Viana do Alentejo","8128","Viana do Alentejo","https://www.intermarche.pt/lojas/evora/03036-viana-do-alentejo/","True","False","True","False","38.330985","-7.995101","Intermarché Viana do Alentejo","Zona Industrial","Viana do Alentejo","7090-222 Viana do Alentejo","pdv03036@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","266953580",FALSE
